,company,task,info
0,매드업(주), 총무/IT 담당자,"일한다는 것만으로 프로라 할 수 있나?
세상에 없던 혁신을 이루고 싶은 총무/IT 담당자를 찾습니다.

매드업은 디지털 마케팅 시장에서 급성장하고있는 애드테크 스타트업입니다.
시장을 혁신하고, 고객을 성공으로 이끈다는 미션 아래, 기술과 데이터 기반의 마케팅 솔루션을 제공하고 있습니다.

급격하게 성장해온 매드업은, 이제 스타트업과 SMB(Small and Medium sized Business)가 겪는 어려움을 해결하고자 누군가의 꿈과 열정이 빛을 보지도 못하고 사라지지 않도록 시장을 바꾸려고 합니다. 그리고 그 중심에는 매드업과 디지털 마케팅 자동화 플랫폼 가 있을 것입니다.

레버는 '세상의 모든 꿈 꾸는 사람들을 돕는다'는 캐치프레이즈를 실현하기 위해 출시되었습니다. 직방, 야놀자, 카카오뱅크 등의 많은 성공 사례와 데이터를 바탕으로, 매드업은 정보와 인력의 격차를 최소화하고 어느 누구라도 손쉽게 마케팅할 수 있는 세상을 만들 것입니다. 23년 이내에 디지털 마케팅의 관문이자 구심점이 될 레버를 통해 말입니다.

그렇기에 우리는 앞으로도 더 많이 성장하려고 합니다.
이 여정에 함께 하고 싶으신 많은 분들의 지원 바랍니다.

 매드업의 총무 및 IT 자산 관리 업무
 회사 유형자산(비품, 사무용품, 임차기기 등) 구매 및 관리 업무
 회사 무형자산(소프트웨어, 라이센스 등) 구매 및 관리 업무
 구성원들의 IT 사무기기 세팅 및 관리 업무
 사무 환경 개선 및 관리 업무(인테리어 유지 및 보수 관리)
 IT 보안 환경 구축 및 관리 업무
 IT 보안 리스크 관리 업무 (보안 솔루션 도입)

 성장하고자 하는 의지가 강한 분
 본인의 직무에 책임감이 강하신 분
 직접 유관 경력이 최소 2년 이상이신 분
 총무/IT보안 관련 업무에 이해도가 높은 분

 최소 300명 이상의 조직에서 총무/IT 업무를 직접 경혐해 본 분
 보안 솔루션 구축 및 운영 경험이 있으신 분
 구성원들의 사무 환경 개선에 진정성을 가지신 분

 함께하는 성장을 위하여
 직무별 실무교육 및 스터디 지원
 외부교육 및 컨퍼런스 참가 지원
 업무 관련 도서 무한 지원

 자율과 책임에 대한 존중
 811시 사이 유연한 출근 (탄력근무제)
 한 달에 2회 자유로운 재택근무
 인근 근무 및 야외 근무 가능

 열심히 일한 자, 특별하게 떠나라!
 5일 연속해서 쓰면 하루 더 받는 원스어게인 휴가
 3년, 5년 만근 시 각 10일, 20일의 유급 휴가와 150만원의 휴가비를 지원하는 비긴어게인 휴가

 따뜻한 매드업 라이프
 입사 첫날 웰컴박스 제공
 원하는 PC 및 장비로 업무환경 세팅
 다양한 사내동아리 지원
 온보딩을 위한 버디 프로그램
 매달 신규입사자를 위한 웰컴 치맥 파티
 분기별 1회 성과를 축하하는 TGIF 파티

 구성원의 행복을 위하여
 반기별 PS 제공
 매월 10만 원 상당의 복지포인트 지급
 생일자 및 1년 만근자 복지포인트 추가 지급
 생일자 2시간 조기 퇴근
 구성원 본인 및 부모님 명절 선물 제공
 주택자금 대출이자 지원
 건강검진 비용 전액 지원"
1,(주)카카오뱅크, IT감사역,"


 인터넷전문은행을 위한 효율적이고 효과적인 IT감사체계 수립 및 운영
 IT감사목표 및 전략모색, IT감사계획 수립 및 감사활동 수행
 금융당국의 IT부문실태평가, 테마검사 등 각종 검사시 수검 지원 등

 금융권 또는 ICT 기업 또는 SI 기업에서 IT 개발업무 경력이 3년 이상 7년 미만인 분

 금융권 또는 ICT 기업 또는 SI 기업의 IT 개발업무에서 감사직무로의 전환을 원하는 분
 빠르게 변하는 핀테크 환경에서의 다양한 감사활동을 통한 성장을 원하는 분
 금융감독원 IT검사메뉴얼 5개 영역의 이해와 해석 능력이 있는 분
 전자금융거래법 및 감독규정 등 IT컴플라이언스에 대한 해석 및 이해가 있는 분
 은행 등 금융회사에서 최소 1년 이상의 IT감사 경력을 보유한 분
 IT 위험 기반 또는 데이터 기반 감사 경험을 보유한 분
 모바일 인증 등 핀테크 관련 지식을 보유한 분
 회계법인 전산감사 경험을 보유한 분
 CISA, CISSP, CIA, 정보보안기사 등 자격을 보유한 분
 내부통제 모니터링 시스템 기획, 운영, 개발 관련 경험이 있는 분

[공통 우대 사항]
 국가유공자 및 장애인 등 취업보호대상자는 관계법령에 따라 우대합니다.
(입사지원 시 증빙서류를 첨부하는 경우에 해당하며, 증빙서류는 포트폴리오 란에 첨부해주시길 바랍니다.)

 성장: 연 500만원의 복지포인트를 통해 스스로 성장과 밸런스있는 삶을 고민할 수 있습니다. 취미활동, 운동, 나에게 주는 선물 등 자유롭게 자기주도 마일리지를 사용해 보세요.
 이너피스: 만 3년 근속하신 분에게 한달간의 달콤한 안식휴가를 드립니다. 유급휴가이며 좋은 휴식이 될 수 있도록 안식휴가비 200만원을 별도로 드립니다.
 균형있는 삶: 자유롭게 출퇴근시간을 조정할 수 있는 WorkOn 유연근무제를 운영하고 있습니다. 그 외에도 일과 생활의 균형을 위한 다양한 시도를 하고 있습니다.

 건강: 본인, 배우자, 자녀, 부모, 배우자부모 대상 단체상해보험 가입을 진행하여 의료비와 진단금을 지원하고 있습니다. 본인은 물론 소중한 가족 한명에게도 건강검진을 지원합니다.
 가족: 경조사 및 장례서비스 지원, 자녀 교육비 지원, 대출이자 지원제도, 새로운 가족을 위한 휴가/휴직 등 다양한 제도를 통해 가족의 행복을 함께 고민합니다.

그 밖에도 균형있는 삶(Balanced Life)를 위해 다양한 제도와 환경을 만들어 가고 있습니다."
2,현대엠엔소프트(주),IT 기획,"

 회사 구성원들이 사내/사외 시스템과 플랫폼 등을 적절하게 이용할 수 있도록 IT 서비스를 기획하고, 제공합니다.
 IT 전략 수립 및 기획
 ICT신기술 검토 및 ICT업무지원

[필수 역량 및 경험]
 Software아키텍처 요건 정의 및 이해
 IT 기획 및 전략 요소 이해
 SW프레임워크, 클라우드(AWS, MS Azure), 컨테이너(Docker등) 이해
 대내외 원활한 커뮤니케이션 역량
 ISP, BCP에 대한 이해


 ISP : Information Strategy Planning
BCP : Business Continuity Plan

[기술 스택]
 OS: Linux, Windows
 Tool: MS Office

 지원 자격
 학사 이상(2021.02 졸업 예정자는 지원 가능, 이후 졸업자는 어떤 사유로든 지원이 불가능합니다.)
 해외 여행에 결격 사유가 없는 분(병역필 또는 군 면제)

[우대 역량 및 경험]
 ICT 신기술 경험

"
3,잡플래닛 매칭서비스,"대기업계열 IT, 정보통신 기업  IT영업","대기업계열 IT, 정보통신 기업

공공/금융/미디어/교육 대상 IT영업

공공/금융/미디어/교육시장 대상 IT 영업 경력자 (신규 발굴, 기존 고객 커버리지, 업셀링)
공공/금융/미디어/교육시장 및 정부정책에 대한 이해를 바탕으로 한 Cloud/CDN 가치 제안능력 보유자
인프라, 솔루션, SI 등 다양한 고객요구에 대한 기술 기반의 가치 제안능력 보유자

기술 기반의 프리세일즈, 컨설팅 등 경험 보유자
Cloud/CDN 영업 경험자
AWS, GCP, NCP 자격증 보유자
비즈니스 영어 가능자

"
4,(주)엔씨소프트,IT전략 PMO 모집,"

최신 IT 트렌드를 반영한 IT 전략을 수립하고, 유연한 업무 환경 개선을 위한 주요 Project 기획 / 관리 / 운영.

 IT/보안 환경의 개선 사항을 도출하고 관련 부서와 협업하여 최종 서비스 제공 까지 업무 수행
 최신 IT 신기술 도입을 위한 기술 검토, IT 기획, 과제 운영 업무 수행
 해외 지사 간 Global One IT 수립을 위한 IT 전략 수립 및 커뮤니케이션
 기술(IT/보안) 부분에서의 Project Management 및 협업 부서간 커뮤니케이션

[공통 요건]
 해외여행 결격사유 없는 자
 채용 규정에 어긋나지 않는 자
 보훈 대상자 및 장애인 우대

 학력 : 학사이상
 경력기간 : 5년 ~ 10년
 필수조건
 IT 업계 PM / PMO 경력 5년 이상
 최신 IT 트렌드에 따른 Digital Transformation 과제 경험
 Project 관리/ 리드 (기술 기획, 리스크 관리, 기술 운영 등) 경험 보유
 Wiki/Jira 등 프로젝트 관리 활용 능력 보유

 제출서류
 필수 제출서류 없음

 IT/보안 기획 관리 경험자
 프로젝트 Technical PM/PL 경험자
 해외 프로젝트 PM/PL 경험자
 외국어 가능자 (영어)

"
5,(주)만인의꿈,IT 서비스 기획 (PO),"안녕하세요.
프롭테크 스타트업 「만인의꿈」입니다.

함께 프롭테크 비즈니스를 혁신해 나갈 멤버를 구하고 있습니다.
현재 성장 초기 단계의 스타트업인 만큼 회사와 개인의 성장을 마음껏 누리실 수 있습니다.

쉐어니도 소개
쉐어니도는 청년의 건강한 관계 형성과
청장을 위한 주거서비스를 제공합니다.

국내 최초 '주거 구독 플랫폼' 쉐어니도는
홍대신촌과 강남 지역에 51개 하우스, 300명의 입주민이 거주하고 있습니다.

2019년 10월 국내 최대 임팩트 벤처 캐피털인 D3쥬빌리파트너스로부터
10억 원의 PreA 시리즈 투자 유치에 성공했고
2020년 코로나 국면을 슬기롭게 극복해 가기 위해
보증금 0원, 30일 초단기 거주, 전체 입/퇴실 과정 비대면 서비스 등
기존 부동산 시장에서 시도 되지 않았던 혁신을 통해
프롭테크 스타트업으로 성장하고 있습니다.

만인의꿈 소개
만인의꿈은 도시에서 청년들이 원하는 삶을 살수 있도록 공간과 커뮤니티에 대한 사회적 가치를 고민하고 제안하는 주거 구독 플랫폼 쉐어니도의 운영사 입니다.

담당업무
 주거 기반 IT 서비스 플랫폼 Product Owner
 서비스 요구사항 분석 우선순위 설정
 사업 개발, 운영, IT Dev 팀 의사소통을 통한 서비스 구현
 데이터 기반 가설 수립 및 검증
 기능 정의, 화면 기획을 통한 와이어프레임 구성

자격요건
 앱 서비스 기획 3년 이상
 IT 서비스 UI/UX 설계에 대한 이해
 프로덕트 초기 기획 부터 출시까지 전체 프로세스 참여 경험
 공개가능한 범위 내에서 참여 프로젝트 기획서, 화면설계서 포트폴리오 첨부

우대사항
 스타트업에서 UI/UX 기획 업무를 전담해보신 분
 반응형 웹 어플리케이션 기획 경험이 있는 분
 다양한 아이디어를 취합하고 협업을 통해 실제로 구현한 경험이 있는 분
 사소한 변화를 통해 임팩트 있는 UX 개선 결과를 도출해낸 분

 만꿈문화 및 복지
1. 닉네임 사용, 열린커뮤니케이션
활용 중인 툴 : 팀즈, 노션, Gsuite
개발언어: #react #java #javascript
2. 8~10시 유연 출퇴근 근무 + 자유로운 복장은 기본
3. 교육 및 컨텐츠 비용 지원, 체력단련 비용 지원 등
몸과 마음을 튼튼하게 하는 복리후생비 지원
4. 함께 식사하며 친해져요 : 매월 멤버간의 모임 식대비 지원
5. 상호 존중을 바탕으로 열린 커뮤니케이션하는 문화
6. 내일채움공제 등 중소기업으로서 회사가 제공할 수 있는 혜택 적극 지원 합니다."
6,(주)대우루컴즈,"IT기획, 전산기획 업무","대우루컴즈는 대우전자의 모니터 사업부가 분리 독립하여 대우컴퓨터와 합병한 전통의 IT전문기업으로, 세계적 품질과 기술을 바탕으로 고객가치 창출을 실현하며 지속 성장하고 있습니다.

무궁한 잠재력과 열정으로, 루컴즈와 함께 지속 성장할 인재 여러분을 모십니다.

 근무지 : 서울특별시 서초구

담당 직무 : IT기획 / 전산기획
담당 업무
 기간계 시스템 운영 및 고도화 (ERP, MES 등)
 서버관리 등 기타 전산 운영 제반 업무

학사 학위 이상 취득자
해당 직무 경력 5년 이상 경력자

기간계 시스템 구축 경험자 우대
제조업계 전산 구축 경험자 우대

점심식사 제공
사내제품 할인판매
우수사원 포상 (포상금 및 해외연수 지원)
전문학업지원
장기근속자 포상 (휴가 및 휴가지원비 지원)
도서구매지원
휴가 및 가족사랑의 날 운영
동호회 활동 지원
청년내일채움공제 가입"
7,(주)스마트로,IT개발,"

 PG서비스 관련 개발 및 운영

개발업무경력 3년이상 ~8년 이하
JAVA(Spring), JSP, PHP, .NET 기본지식 보유
My(I)Batis, Quartz, SpringBatch 기본지식 보유
Android / IOS 기본지식 보유
Oracle 관련 기본지식 보유
Linux, AIX 기본지식 보유
WEB관련 기본지식 보유(JSON, AJAX, XML, JQUERY)
 학력: 초대졸이상 학력으로 전산관련학과 졸업자
 해외여행에 결격사유가 없는 자
 남자는 병역필 또는 면제자
 당사 채용관련 규정 상 채용에 결격 사유가 없는 자

 PG결제서비스 개발 경험자(PG사 근무경험자 우대)
 결제 Processing에 대한 전반적인 지식 및 경험 보유자

"
8,인텔렉추얼데이터(주),IT B2B 국내 영업 담당자 채용,"인텔렉추얼데이터(주)는 한국형 빅 데이터 분석 솔루션 개발 및 Legal Technology서비스를
제공하는 국내 최초 eDiscovery(전자증거개시제도) 전문 한국 기업입니다.

해외 소송 대응 및 기업 데이터 분석을 위해 인텔렉추얼데이터는 보다 정확한 분석 결과와
안전한 데이터 관리 환경을 제공하며, 기업의 위험관리 및 안전성장을 위해
인텔렉추얼데이터만의 기술 및 컨설팅 전문가들의 각 기업에 최적화된
서비스 및 솔루션을 통하여 지속 가능한 가치를 제공하고 있습니다.

현재 국내 유명 대기업 및 중견기업들과 거래 중이며 미래의 비전을 인정받아
빠르게 성장하고 있습니다.

로펌, 기업 법무팀 및 특허팀 대상으로 자사 eDiscovery 서비스, 기타 소송 지원 서비스 영업(B2B 국내영업)
 신규 고객사 발굴 및 기존 고객사 관리
 고객사 미팅 및 네트워크 형성
 시장 파악 및 아이디어 도출

 나이, 성별, 전공 제한 없음
 적극적인 성향으로 도전적인 영업 및 지속적인 인맥관리가 가능하신 분

영어 능숙자 우대(영미권 생활 또는 유학 경험자 우대)
B2B IT Sales 경력 우대

"
9,잡플래닛 매칭서비스,IT 대기업  연결회계,"IT 대기업

모집부서 소개 : 그룹사 회계 정책 수립 및 연결결산 수행
역할 및 책임 : '연결회계 결산, 재무제표 및 공시자료 작성, 국내/외 계열회사 회계기준 검토 및 관리

경력 필수기간 : 3년 이상
필수 사항 : 'KIFRS 기준 회계처리 및 연결회계 업무 경력, 상장회사 외부 회계감사 수검/대응, 사업보고서 등 외부 공시자료 작성 경험
우대 사항 : 회계/세무 관련 자격증 보유자, 동종업계 근무 경험, 일본어 또는 영어 가능자, ERP(회계시스템) 기획 경험
최소학력사항/타겟전공 : 대졸 / 경영학 관련 전공



"
